1675139,3.2.2.709 (MU6),HP_3PAR 7200,2.0,26738688.0,9530368.0,3.2.2.709 (MU6),3.2.2.809 (P165),3.2.2.709 (MU6),3.2.2.771 (P135),1,FXN,QR482-63001,PDHWNB6LM8A1ZY,False,True,8192,4096,100
1675749,3.2.2.709 (MU6),HP_3PAR 7200c,2.0,32923648.0,16653312.0,3.2.2.709 (MU6),3.2.2.791 (P149),3.2.2.709 (MU6),3.2.2.771 (P135),0,FXN,QR511-63001,PDHWNB6LM8U0WT,True,True,16384,4096,100
1687032,3.2.2.612 (MU4),HP_3PAR 7200c,2.0,40255488.0,10565632.0,3.2.2.612 (MU4),3.2.2.712 (P94),3.2.2.612 (MU4),3.2.2.612 (MU4),0,FXN,QR511-63001,PDHWNB6LM7V0BK,True,True,16384,4096,100
1688974,3.2.2.709 (MU6),HP_3PAR 7200c,2.0,61396992.0,30344192.0,3.2.2.709 (MU6),3.2.2.809 (P165),3.2.2.709 (MU6),3.2.2.771 (P135),0,FXN,QR511-63001,PDHWNB6LM9B0Q4,True,True,16384,4096,100
1689635,3.2.2.709 (MU6),HP_3PAR 7200,2.0,18284544.0,8933376.0,3.2.2.709 (MU6),3.2.2.791 (P149),3.2.2.709 (MU6),3.2.2.771 (P135),1,FXN,QR482-63001,PCMBUB2TM6L0IK,False,True,8192,4096,100
2M200209QW,4.5.15.9,HPE_3PAR A630,2.0,36597760.0,5051392.0,4.5.15.9,4.5.15.9,4.5.0.35,4.5.15.9,1,FXN,N9Z55-63004,PWDRQB1LMCW0F5,False,True,105152,25600,100
2M201406LN,3.3.2.159 (MU1),HPE_3PAR 8400,2.0,393233408.0,327108608.0,3.3.2.159 (MU1),3.3.2.159 (MU1),3.3.2.159 (MU1),3.3.2.159 (MU1),1,FXN,H6Y95-63001,PFLKQB5LMCV0LA,False,True,16384,16384,100
2M201504JM,4.5.15.9,HPE_3PAR A630,2.0,43917312.0,38925312.0,4.5.15.9,4.5.15.9,4.5.0.35,4.5.15.9,1,FXN,N9Z55-63004,PWDRQB1LMCW0C3,False,True,105152,25600,100
2M201708Q6,4.5.18.20,HPE_3PAR A630,2.0,58564608.0,52317184.0,4.5.18.20,4.5.18.20,4.5.0.35,4.5.15.9,0,FXN,N9Z55-63004,PWDRQB1LMCW058,True,True,105152,25600,100
2M202205GF,4.5.21.3,HPE_3PAR C630,2.0,200859648.0,174089216.0,4.5.21.3,4.5.21.3,4.5.0.35,4.5.15.9,0,FXN,N9Z55-63004,PWDRQB4LMD3011,True,True,105152,25600,100
2M203205PW,3.3.1.648 (MU5),HPE_3PAR 8200,2.0,13721600.0,3270656.0,3.3.1.648 (MU5),3.3.1.671 (P136),3.3.1.648 (MU5),3.3.1.648 (MU5),0,FXN,K2Q35-63001,PFLKQB5LMDV0FQ,True,True,16384,16384,100
2M210900R2,4.5.15.9,HPE_3PAR A650,4.0,263651328.0,146757632.0,4.5.15.9,4.5.15.9,4.5.0.35,4.5.15.9,1,FXN,N9Z57-63003,PWRCKB5LMDT0DY,False,True,210624,51200,100
2M215100C7,4.5.18.20,HPE_3PAR A650,4.0,102473728.0,69260288.0,4.5.18.20,4.5.18.20,4.5.0.35,4.5.15.9,0,FXN,N9Z57-63003,PWRCKB5LMFT02S,False,True,210624,51200,100
2M2229096Z,4.5.4.2,HPE_3PAR A630,2.0,18298880.0,8137728.0,4.5.4.2,4.5.3.12,4.5.0.35,4.5.3.12,1,FXN,N9Z55-63004,PWDRQB5LMFY00Y,True,True,105152,25600,100
2M223701RB,4.5.7.8,HPE_3PAR C650,2.0,76861440.0,51819520.0,4.5.7.8,4.5.7.8,4.5.0.35,4.5.7.8,1,FXN,N9Z57-63003,PWRCKB5LMGE0N9,False,True,210624,51200,100
2M2314011J,4.5.11.14,HPE_3PAR A650,4.0,527155200.0,259356672.0,4.5.11.14,4.5.11.14,4.5.0.35,4.5.11.14,2,FXN,N9Z57-63003,PWRCKB5LMGK00G,False,True,210624,51200,100
2M262003LH,3.3.2.159 (MU1),HPE_3PAR 8400,2.0,29278208.0,9133056.0,3.3.2.159 (MU1),3.3.2.168 (P10),3.3.2.159 (MU1),3.3.2.168 (P10),1,FXN,H6Y95-63001,PDSETB3LM1610Z,False,True,16384,16384,100
2M264702VQ,3.3.1.648 (MU5),HPE_3PAR 8200,2.0,153452544.0,48560128.0,3.3.1.648 (MU5),3.3.1.709 (P155),3.3.1.648 (MU5),3.3.1.648 (MU5),0,FXN,K2Q35-63001,PFLKQA3LM4906K,True,True,16384,16384,100
2M271902JJ,3.3.1.648 (MU5),HPE_3PAR 8450,4.0,71360512.0,21947392.0,3.3.1.648 (MU5),3.3.1.709 (P155),3.3.1.648 (MU5),3.3.1.648 (MU5),3,FXN,H6Z17-63001,PFLKQA4LM610GO,False,True,65536,32768,100
2M272502RW,3.3.1.648 (MU5),HPE_3PAR 8400,2.0,202227712.0,48061440.0,3.3.1.648 (MU5),3.3.1.648 (MU5),3.3.1.648 (MU5),3.3.1.648 (MU5),0,FXN,H6Y95-63001,PFLKQA4LM6908N,True,True,16384,16384,100
2M27290399,3.3.2.159 (MU1),HPE_3PAR 8200,2.0,21958656.0,13990912.0,3.3.2.159 (MU1),3.3.2.159 (MU1),3.3.2.159 (MU1),3.3.2.159 (MU1),1,FXN,K2Q35-63001,PFLKQB3LMBA0PN,False,True,16384,16384,100
2M274202BZ,3.3.1.648 (MU5),HPE_3PAR 8200,2.0,27426816.0,7298048.0,3.3.1.648 (MU5),3.3.1.725 (P173),3.3.1.648 (MU5),3.3.1.648 (MU5),0,FXN,K2Q35-63001,PFLKQB5LMDI064,True,True,16384,16384,100
2M274203FH,3.3.1.648 (MU5),HPE_3PAR 8200,2.0,18284544.0,10961920.0,3.3.1.648 (MU5),3.3.1.725 (P173),3.3.1.648 (MU5),3.3.1.648 (MU5),1,FXN,K2Q35-63001,PFLKQA3LM540NM,False,True,16384,16384,100
2M280200WR,3.3.1.648 (MU5),HPE_3PAR 8200,2.0,205062144.0,74966016.0,3.3.1.648 (MU5),3.3.1.725 (P173),3.3.1.648 (MU5),3.3.1.648 (MU5),0,FXN,K2Q35-63001,PFLKQD1LMIH04R,False,True,16384,16384,100
2M29210198,3.3.1.648 (MU5),HPE_3PAR 8200,2.0,24428544.0,13325312.0,3.3.1.648 (MU5),3.3.1.669 (P132),3.3.1.648 (MU5),3.3.1.648 (MU5),0,FXN,K2Q35-63001,PFLKQB4LMC00JN,True,True,16384,16384,100
