,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
51,,800-200012.02,,CNX24904XK,CHN,,0,,,1,0603,0,n/a,IOM 0,n/a,N9Z50A,DCS12
52,,800-200012.02,,CNX24904XK,CHN,,0,,,1,0603,0,n/a,IOM 0,n/a,N9Z50A,DCS12
53,,800-200012.02,,CNX24904XK,CHN,,1,,,1,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
54,,800-200012.02,,CNX24904XK,CHN,,1,,,1,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
55,,800-200012.02,,CNX24904XK,CHN,,1,,,1,0603,0,n/a,IOM 0,n/a,N9Z50A,DCS12
56,,800-200012.02,,CNX24904XK,CHN,,1,,,1,0603,0,n/a,IOM 0,n/a,N9Z50A,DCS12
57,,800-200012.02,,CNX24904XK,CHN,,1,,,1,0603,0,n/a,IOM 0,n/a,N9Z50A,DCS12
58,,800-200012.02,,CNX24904XK,CHN,,2,,,1,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
59,,800-200012.02,,CNX24904XK,CHN,,2,,,1,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
60,,800-200012.02,,CNX24904XK,CHN,,2,,,1,0603,0,n/a,IOM 0,n/a,N9Z50A,DCS12
61,,800-200012.02,,CNX24904XK,CHN,,2,,,1,0603,0,n/a,IOM 0,n/a,N9Z50A,DCS12
62,,800-200012.02,,CNX24904XK,CHN,,2,,,1,0603,0,n/a,IOM 0,n/a,N9Z50A,DCS12
63,,800-200012.02,,CNX24904XK,CHN,,3,,,1,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
64,,800-200012.02,,CNX24904XK,CHN,,3,,,1,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
65,,800-200012.02,,CNX24904XK,CHN,,3,,,1,0603,0,n/a,IOM 0,n/a,N9Z50A,DCS12
66,,800-200012.02,,CNX24904XK,CHN,,3,,,1,0603,0,n/a,IOM 0,n/a,N9Z50A,DCS12
67,,800-200012.02,,CNX24904XK,CHN,,3,,,1,0603,0,n/a,IOM 0,n/a,N9Z50A,DCS12
68,,800-200012.02,,CNX24904XK,CHN,,0,,,0,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
69,,800-200012.02,,CNX24904XK,CHN,,0,,,0,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
