49,800-200012.02,CNX247053V,CHN,0,1,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z50A,DCS12
50,800-200012.02,CNX247053V,CHN,1,1,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z46A,DCN5
51,800-200012.02,CNX247053V,CHN,1,1,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z50A,DCS12
52,800-200012.02,CNX24800NZ,CHN,0,0,0603,0,n/a,IOM 0,n/a,N9Z46A,DCN5
53,800-200012.02,CNX24800NZ,CHN,1,0,0603,0,n/a,IOM 0,n/a,N9Z46A,DCN5
54,800-200012.02,CNX24800NZ,CHN,0,0,0603,1,n/a,IOM 1,n/a,N9Z46A,DCN5
55,800-200012.02,CNX24800NZ,CHN,1,0,0603,1,n/a,IOM 1,n/a,N9Z46A,DCN5
56,800-200012.02,CNX241053H,CHN,0,0,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
57,800-200012.02,CNX241053H,CHN,1,0,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
58,800-200012.02,CNX241053H,CHN,0,0,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
59,800-200012.02,CNX241053H,CHN,1,0,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
60,800-200012.02,CNX24202TR,CHN,0,0,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
61,800-200012.02,CNX24202TR,CHN,1,0,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
62,800-200012.02,CNX24202TR,CHN,0,0,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
63,800-200012.02,CNX24202TR,CHN,1,0,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
64,800-200012.02,CNX243000F,CHN,0,0,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
65,800-200012.02,CNX243000F,CHN,0,0,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
66,800-200012.02,CNX243000F,CHN,1,0,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
67,800-200012.02,CNX243000F,CHN,1,0,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
68,800-200012.02,CNX243000F,CHN,2,0,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
69,800-200012.02,CNX243000F,CHN,2,0,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
70,800-200012.02,CNX243000F,CHN,3,0,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
71,800-200012.02,CNX243000F,CHN,3,0,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
72,800-200012.02,CNX243000F,CHN,0,0,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
73,800-200012.02,CNX243000F,CHN,0,0,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
74,800-200012.02,CNX243000F,CHN,1,0,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
75,800-200012.02,CNX243000F,CHN,1,0,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
76,800-200012.02,CNX243000F,CHN,2,0,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
77,800-200012.02,CNX243000F,CHN,2,0,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
78,800-200012.02,CNX243000F,CHN,3,0,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
79,800-200012.02,CNX243000F,CHN,3,0,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
80,800-200012.02,CNX243000F,CHN,0,1,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
81,800-200012.02,CNX243000F,CHN,0,1,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
82,800-200012.02,CNX243000F,CHN,1,1,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
83,800-200012.02,CNX243000F,CHN,1,1,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
84,800-200012.02,CNX243000F,CHN,2,1,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
85,800-200012.02,CNX243000F,CHN,2,1,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
86,800-200012.02,CNX243000F,CHN,3,1,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
87,800-200012.02,CNX243000F,CHN,3,1,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
88,800-200012.02,CNX243000F,CHN,0,1,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
89,800-200012.02,CNX243000F,CHN,0,1,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
90,800-200012.02,CNX243000F,CHN,1,1,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
91,800-200012.02,CNX243000F,CHN,1,1,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
92,800-200012.02,CNX243000F,CHN,2,1,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
93,800-200012.02,CNX243000F,CHN,2,1,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
94,800-200012.02,CNX243000F,CHN,3,1,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
95,800-200012.02,CNX243000F,CHN,3,1,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
96,800-200012.02,CNX243006R,CHN,0,0,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
97,800-200012.02,CNX243006R,CHN,1,0,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
98,800-200012.02,CNX243006R,CHN,0,0,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
99,800-200012.02,CNX243006R,CHN,1,0,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
100,800-200012.02,CNX243007P,CHN,0,0,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
101,800-200012.02,CNX243007P,CHN,0,0,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
102,800-200012.02,CNX243007P,CHN,1,0,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
103,800-200012.02,CNX243007P,CHN,1,0,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
104,800-200012.02,CNX243007P,CHN,2,0,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
105,800-200012.02,CNX243007P,CHN,2,0,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
106,800-200012.02,CNX243007P,CHN,3,0,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
